# bincenter, RDF
2.008000 1.088073
2.016000 1.230616
2.024000 1.028106
2.032000 1.211300
2.040000 0.948784
2.048000 0.962334
2.056000 1.058651
2.064000 1.009241
2.072000 1.042355
2.080000 1.115447
2.088000 1.066714
2.096000 1.318220
2.104000 1.268544
2.112000 1.199969
2.120000 1.171365
2.128000 1.201372
2.136000 1.326973
2.144000 1.221686
2.152000 1.117883
2.160000 1.034355
2.168000 0.877417
2.176000 1.185978
2.184000 1.563658
2.192000 1.314827
2.200000 1.033376
2.208000 0.845915
2.216000 1.125683
2.224000 0.957972
2.232000 0.863024
2.240000 0.961827
2.248000 1.041766
2.256000 1.224084
2.264000 1.181165
2.272000 0.917921
2.280000 1.164678
2.288000 0.972146
2.296000 1.115217
2.304000 1.190108
2.312000 1.017753
2.320000 1.238947
2.328000 1.214290
2.336000 1.061269
2.344000 1.229676
2.352000 1.189640
2.360000 1.087036
2.368000 1.408337
2.376000 1.212320
2.384000 1.204225
2.392000 1.211532
2.400000 1.096793
2.408000 0.907962
2.416000 0.977090
2.424000 1.105075
2.432000 0.949448
2.440000 1.134856
2.448000 1.068875
2.456000 0.945525
2.464000 1.185118
2.472000 1.019473
2.480000 1.112806
2.488000 0.864657
2.496000 0.915485
