# bincenter, RDF
2.008000 1.459845
2.016000 1.257339
2.024000 1.357915
2.032000 1.237603
2.040000 1.088004
2.048000 1.110396
2.056000 1.117076
2.064000 1.275427
2.072000 1.340952
2.080000 1.106357
2.088000 1.409526
2.096000 1.089565
2.104000 1.081272
2.112000 1.392159
2.120000 1.338447
2.128000 1.099901
2.136000 1.148353
2.144000 1.210196
2.152000 1.159311
2.160000 1.372523
2.168000 1.211067
2.176000 1.065537
2.184000 1.261197
2.192000 1.063508
2.200000 1.376569
2.208000 1.194122
2.216000 1.185483
2.224000 0.902372
2.232000 1.181532
2.240000 1.186040
2.248000 1.139164
2.256000 1.258246
2.264000 1.274560
2.272000 1.177923
2.280000 1.318986
2.288000 1.297389
2.296000 1.067532
2.304000 1.157590
2.312000 0.992298
2.320000 1.213774
2.328000 1.062255
2.336000 1.054991
2.344000 1.259683
2.352000 1.169316
2.360000 1.033623
2.368000 1.291991
2.376000 1.088488
2.384000 1.035695
2.392000 1.074012
2.400000 1.100514
2.408000 1.215963
2.416000 1.141395
2.424000 1.012804
2.432000 1.181116
2.440000 1.129954
2.448000 1.057810
2.456000 1.115245
2.464000 1.033468
2.472000 1.270212
2.480000 1.262071
2.488000 0.982244
2.496000 1.162876
