# bincenter, RDF
2.008000 1.470863
2.016000 0.826913
2.024000 1.206423
2.032000 1.173021
2.040000 1.258820
2.048000 1.272608
2.056000 1.192575
2.064000 1.438545
2.072000 1.036075
2.080000 1.073784
2.088000 1.156313
2.096000 1.462481
2.104000 1.071766
2.112000 1.174489
2.120000 1.231578
2.128000 1.004099
2.136000 1.126547
2.144000 1.053680
2.152000 1.344677
2.160000 1.080464
2.168000 1.093565
2.176000 1.106382
2.184000 0.932542
2.192000 1.193156
2.200000 1.470445
2.208000 1.277327
2.216000 1.187573
2.224000 1.199067
2.232000 0.992041
2.240000 1.260802
2.248000 1.232232
2.256000 1.301250
2.264000 1.157033
2.272000 1.340426
2.280000 1.197927
2.288000 0.962956
2.296000 1.068790
2.304000 1.340662
2.312000 1.164995
2.320000 1.138581
2.328000 1.057845
2.336000 1.322322
2.344000 1.205335
2.352000 1.500952
2.360000 1.224550
2.368000 1.339710
2.376000 1.278140
2.384000 1.252214
2.392000 1.330245
2.400000 1.063939
2.408000 1.142153
2.416000 1.100697
2.424000 1.228050
2.432000 1.336947
2.440000 1.328229
2.448000 1.484498
2.456000 1.261779
2.464000 1.107107
2.472000 1.342544
2.480000 1.205367
2.488000 1.500980
2.496000 1.523148
